SOLD_DATE,PROPERTY_TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,HOA
July-6-2018,Condo/Co-op,Fullerton,CA,92831,356000,2,2,933,,1964,84,285
July-27-2018,Single Family Residential,Fullerton,CA,92832,595000,3,2.5,1559,1588,1973,63,375
July-17-2018,Single Family Residential,Fullerton,CA,92835,760000,3,2,1902,8436,1963,73,
July-19-2018,Townhouse,Fullerton,CA,92831,460000,3,2.5,1562,1161,1964,71,314
July-24-2018,Single Family Residential,Fullerton,CA,92835,1100000,4,3.5,3000,12432,1964,66,
August-8-2018,Single Family Residential,Fullerton,CA,92831,595000,3,1.75,1252,6000,1955,51,
August-8-2018,Single Family Residential,Fullerton,CA,92831,780000,3,2,1792,11000,1960,51,
July-31-2018,Single Family Residential,Fullerton,CA,92831,600000,3,3,1596,8559,1954,59,
August-22-2018,Condo/Co-op,Fullerton,CA,92835,465000,3,2.25,1321,,1973,37,370
August-10-2018,Single Family Residential,Fullerton,CA,92835,725000,3,2,1452,7020,1977,49,
August-29-2018,Single Family Residential,Fullerton,CA,92835,985000,3,1.75,2299,16638,1959,30,
July-20-2018,Single Family Residential,Fullerton,CA,92835,795000,4,3,2830,9660,1977,70,
September-17-2018,Condo/Co-op,Fullerton,CA,92835,340000,2,2,851,,1977,11,335
September-19-2018,Single Family Residential,Fullerton,CA,92831,633000,4,2,1500,7350,1956,9,
July-19-2018,Single Family Residential,Fullerton,CA,92835,1600000,4,3.5,3000,19680,1956,71,
July-26-2018,Single Family Residential,Fullerton,CA,92832,649000,4,3,1821,2442,2013,64,118
August-3-2018,Single Family Residential,Fullerton,CA,92833,500000,1,1.5,1081,6200,1950,56,
August-8-2018,Single Family Residential,Fullerton,CA,92833,1280000,4,3.5,4190,17550,1984,51,
August-10-2018,Single Family Residential,Fullerton,CA,92833,540000,3,1,1053,6026,1950,49,
July-31-2018,Condo/Co-op,Fullerton,CA,92833,452000,2,2.5,1178,,1971,59,330
July-10-2018,Townhouse,Fullerton,CA,92831,440000,2,2,1203,,1973,80,336
July-25-2018,Condo/Co-op,Fullerton,CA,92835,270000,1,1,676,,1977,65,315
September-21-2018,Condo/Co-op,Fullerton,CA,92835,340000,1,1.5,831,,1976,7,400
July-18-2018,Single Family Residential,Fullerton,CA,92832,800000,4,1.75,2045,8800,1971,72,
July-30-2018,Single Family Residential,Fullerton,CA,92835,1250000,4,4,2738,19500,1962,60,
August-10-2018,Single Family Residential,Fullerton,CA,92832,849000,3,2,2348,11625,1927,49,
August-28-2018,Single Family Residential,Fullerton,CA,92835,1137750,4,3.5,2628,18792,1962,31,
September-21-2018,Single Family Residential,Fullerton,CA,92832,750000,3,1.75,1969,7500,1971,7,
August-21-2018,Single Family Residential,Fullerton,CA,92835,547250,3,2,1117,2800,1973,38,161
September-14-2018,Single Family Residential,Fullerton,CA,92835,1298000,5,2.5,3654,7490,2000,14,235
June-30-2018,Single Family Residential,Fullerton,CA,92831,597000,3,2,1418,7493,1961,90,
July-10-2018,Condo/Co-op,Fullerton,CA,92832,555000,2,2.5,1819,1819,2006,80,255
July-3-2018,Single Family Residential,Fullerton,CA,92832,605000,3,2,1309,7490,1955,87,
July-15-2018,Single Family Residential,Fullerton,CA,92831,563000,3,1.5,1112,6800,1954,75,
July-11-2018,Single Family Residential,Fullerton,CA,92831,569000,4,1.5,1368,7700,1954,79,
July-25-2018,Single Family Residential,Fullerton,CA,92831,570000,3,2,1252,8160,1955,65,
July-24-2018,Single Family Residential,Fullerton,CA,92833,563000,3,2,1290,6581,1955,66,
July-26-2018,Single Family Residential,Fullerton,CA,92831,890000,3,2.5,2252,21000,1971,64,
July-25-2018,Condo/Co-op,Fullerton,CA,92832,578000,3,3,1819,1819,2006,65,255
August-6-2018,Single Family Residential,Fullerton,CA,92831,837500,3,2,2191,7000,1976,53,189
August-22-2018,Single Family Residential,Fullerton,CA,92831,975000,4,3,2793,33440,1966,37,
August-14-2018,Single Family Residential,Fullerton,CA,92833,615000,2,1,1008,8075,1926,45,
August-14-2018,Single Family Residential,Fullerton,CA,92832,585000,4,1.5,1382,6359,1955,45,
August-14-2018,Townhouse,Fullerton,CA,92831,560000,3,2.5,1763,2400,1975,45,230
August-9-2018,Single Family Residential,Fullerton,CA,92831,450000,2,1,640,5000,1930,50,
August-31-2018,Single Family Residential,Fullerton,CA,92832,529000,2,0.75,1088,7000,1919,28,
September-5-2018,Townhouse,Fullerton,CA,92832,605000,4,2,1625,5227,1963,23,
September-5-2018,Single Family Residential,Fullerton,CA,92831,615000,3,2,1300,6968,1958,23,
September-10-2018,Single Family Residential,Fullerton,CA,92831,1987000,4,3.25,4522,60984,1978,18,
September-10-2018,Single Family Residential,Fullerton,CA,92831,1133550,4,2.5,3096,22100,1976,18,
September-14-2018,Single Family Residential,Fullerton,CA,92831,1110000,4,2.5,2201,10160,1975,14,105
September-7-2018,Single Family Residential,Fullerton,CA,92835,1040000,4,3.25,2251,26600,1950,21,
July-17-2018,Single Family Residential,Fullerton,CA,92835,900000,3,2.5,2154,3941,2002,73,222
August-7-2018,Single Family Residential,Fullerton,CA,92835,631000,3,2,1562,16748,1951,52,
August-8-2018,Single Family Residential,Fullerton,CA,92835,630000,3,2.5,2310,2845,1979,51,430
August-8-2018,Condo/Co-op,Fullerton,CA,92832,600000,3,2.5,1693,,2014,51,141
August-14-2018,Single Family Residential,Fullerton,CA,92835,938000,3,2.5,2032,17264,1962,45,
August-10-2018,Townhouse,Fullerton,CA,92831,480000,2,2.5,1150,100,1980,49,325
July-25-2018,Single Family Residential,Fullerton,CA,92835,739000,4,2,1891,7380,1977,65,
August-27-2018,Single Family Residential,Fullerton,CA,92835,1500000,5,4.5,4337,13848,2002,32,180
September-10-2018,Single Family Residential,Fullerton,CA,92835,1065000,4,2.5,2279,24570,1960,18,
September-18-2018,Single Family Residential,Fullerton,CA,92831,672000,3,1.75,1427,7659,1962,10,
September-24-2018,Single Family Residential,Fullerton,CA,92835,730000,5,3,2234,10170,1962,4,
July-2-2018,Single Family Residential,Fullerton,CA,92831,750000,4,3,2416,9000,1930,88,
July-12-2018,Single Family Residential,Fullerton,CA,92835,1050000,4,2.5,2546,19740,1964,78,
September-13-2018,Townhouse,Fullerton,CA,92831,486500,2,2.5,1150,2,1980,15,325
September-26-2018,Condo/Co-op,Fullerton,CA,92835,473500,3,2.5,1267,1267,1973,2,370
September-24-2018,Condo/Co-op,Fullerton,CA,92831,490000,3,2.5,1652,1742,1973,4,392
July-5-2018,Single Family Residential,Fullerton,CA,92831,900000,4,3,2400,10240,1951,85,
July-6-2018,Single Family Residential,Fullerton,CA,92831,633750,3,1.75,1578,7680,1955,84,
August-20-2018,Single Family Residential,Fullerton,CA,92831,789000,4,2,2151,14400,1961,39,
August-9-2018,Condo/Co-op,Fullerton,CA,92832,445000,2,2.5,1092,,1984,50,200
August-24-2018,Condo/Co-op,Fullerton,CA,92831,290000,1,1,677,,1965,35,295
August-15-2018,Single Family Residential,Fullerton,CA,92831,725000,4,2,1579,7200,1963,44,
August-31-2018,Single Family Residential,Fullerton,CA,92831,645000,3,1.75,1221,6124,1950,28,
